clause_id,clause_type,contract_name,text,char_len
cap_000_4d5230,Cap On Liability,NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR AGREEMENT.PDF,In no event shall PPG SHANGHAI be liable for consequential damages.,67
cap_001_9fd4a8,Cap On Liability,BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement.PDF,"In no event will either party be liable to the other for special,       incidental, or indirect damages or for any consequential damages       (including lost profits or savings), even if they are informed of the       possibility; provided that this Section 10 does not apply to Customer's       failure to pay any amounts owing to IBM under this Agreement (including       amounts owing for Services that would have been rendered but for       Customer's breach of this Agreement).",483
cap_002_8d698b,Cap On Liability,WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.PDF,"In the event that the Software or eGain System is not Year 2000 Compliant, Customer's sole and exclusive remedy and eGain's sole and exclusive liability shall be for eGain, at no additional cost to Customer, to promptly modify the Software or the eGain System so that the Software or eGain System is Year 2000 Compliant.",320
cap_003_c4d5c7,Cap On Liability,MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.PDF,"EXCEPT FOR CLAIMS  BROUGHT BY PRETZEL TIME WITH REGARD TO  FRANCHISEE'S OBLIGATIONS  TO MAKE PAYMENTS TO PRETZEL TIME  PURSUANT TO THIS  AGREEMENT OR TO INDEMNIFY  PRETZEL TIME PURSUANT TO THIS  AGREEMENT,  ANY AND ALL CLAIMS ARISING OUT OF OR RELATING TO THIS  AGREEMENT  OR THE  RELATIONSHIP  OF  FRANCHISEE  AND PRETZEL  TIME  PURSUANT TO THIS  AGREEMENT  SHALL BE BARRED  UNLESS AN ACTION IS COMMENCED  WITHIN:  (1) TWO (2)  YEARS  FROM THE DATE ON WHICH  THE ACT OR EVENT GIVING  RISE TO THE  CLAIM  OCCURRED  OR (2) ONE (1) YEAR FROM THE DATE ON WHICH FRANCHISEE  OR  PRETZEL  TIME KNEW OR SHOULD  HAVE  KNOWN,  IN THE  EXERCISE  OF REASONABLE  DILIGENCE OF THE FACTS GIVEN RISE TO SUCH CLAIMS,  WHICHEVER  OCCURS FIRST.",726
cap_004_531b86,Cap On Liability,AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT.PDF,"In the event the Company terminates this Agreement, the Company shall pay to HDI a termination payment, (the ""Termination Payment"") the amount of which shall be an amount equal to the aggregate Net Sales for the twelve (12) months preceding the Termination Date less $800,000, the balance of which shall be divided by two.",322
cap_005_6d4ae8,Cap On Liability,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT.PDF,"Termination of this          Agreement by Corio for non conformance of the Software to the          Documentation under this Section 3.1 shall, upon a refund of all          fees paid to Changepoint, be Corio's sole and exclusive remedy          against Changepoint for any nonconformance of the Software with the          Documentation.",337
cap_006_de9184,Cap On Liability,GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,"In no event will NFLA be liable for any indirect, incidental, reliance, special or consequential damages arising out of the performance or nonperformance of this Agreement, whether or not NFLA had been advised of the possibility of such damages.",245
cap_007_7c285f,Cap On Liability,CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.pdf,"In no event shall any party be responsible to the other for indirect, special or consequential damages.",103
cap_008_fdfcca,Cap On Liability,SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,"The Licensee agrees that neither the Licensor, nor any of its respective affiliates, employees, officers,  or agents, shall be liable for any loss, damage, cost or expense, (direct or indirect) except for direct  damages arising from the gross negligence of willful misconduct of the Licensor.",293
cap_009_236097,Cap On Liability,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,"NEITHER PARTY SHALL BE LIABLE FOR LOST PROFITS OR SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES (HOWEVER ARISING, INCLUDING<omitted>NEGLIGENCE) ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, EVEN IF THE PARTIES ARE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.",261
cap_010_1ae461,Cap On Liability,BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.PDF,"BNL shall have no liability with respect to its obligations under this agreement or otherwise for consequential, exemplary, special, indirect, incidental or punitive damages even if it has been advised of the possibility<omitted>of such damages. in any event, other than claims covered by the next sentence, the liability of BNL to VIP for any reason and upon any cause of action and claim in contract, tort or otherwise shall be limited to the amounts paid by BNL to VIP in the twelve (12) month period prior to the accrual of the action or claim for the specific service which is the subject of the action or claim (or, if such accrual occurs during the first twelve (12) months of the initial term, then the liability shall be limited to the minimum fees payable by BNL to VIP during the first twelve (12) months of the initial term) claims by VIP for the minimum fees and other fees and expenses owing by BNL under paragraphs 5, 15(a) and 15(c), or for a breach by BNL of VIP's proprietary rights as set forth in paragraph 13 are excluded from this paragraph II limitation except for the claims excluded by the preceding sentence, this limitation applies to all causes of action or claims in the aggregate including without limitation breach of contract, breach of warranty, negligence, strict liability, misrepresentation and other torts.",1343
cap_011_580489,Cap On Liability,InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf,"IN NO EVENT SHALL Erchonia BE LIABLE FOR ANY LOSS OF PROFIT OR ANY OTHER COMMERCIAL DAMAGE, INCLUDING BUT NOT LIMITED TO SPECIAL, INCIDENTAL, CONSEQUENTIAL OR OTHER INDIRECT DAMAGES UNDER ANY CAUSE OF ACTION ARISING OUT OF OR RELATING TO THIS AGREEMENT, INCLUDING, WITHOUT LIMITATION, CLAIMS ARISING FROM MALFUNCTION OR DEFECTS IN THE PRODUCTS.",344
cap_012_c030c6,Cap On Liability,VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.pdf,"NOTWITHSTANDING ANY OTHER PROVISION OF THIS AGREEMENT, JHU ADDITIONALLY DISCLAIMS ALL OBLIGATIONS AND LIABILITIES ON THE PART OF JHU AND INVENTORS, FOR DAMAGES, INCLUDING, BUT NOT LIMITED TO, DIRECT, INDIRECT, SPECIAL, AND CONSEQUENTIAL DAMAGES, ATTORNEYS' AND EXPERTS' FEES, AND COURT COSTS (EVEN IF JHU HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES, FEES OR COSTS), ARISING OUT OF OR IN CONNECTION WITH THE MANUFACTURE, USE, OR SALE OF THE LICENSED PRODUCTS AND LICENSED SERVICES UNDER THIS AGREEMENT.",509
cap_013_1f5ab9,Cap On Liability,ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf,"NOTWITHSTANDING ANYTHING TO THE CONTRARY IN THIS AGREEMENT, EXCEPT FOR (A) INDEMNIFICATION OBLIGATIONS OF A PARTY UNDER SECTION 6.1, (B) A BREACH OF SECTION 7 BY A PARTY OR (C) THE WILLFUL MISCONDUCT OR GROSS NEGLIGENCE OF A PARTY, NEITHER PARTY NOR ANY OF ITS AFFILIATES SHALL BE LIABLE TO THE OTHER PARTY OR ANY OF ITS AFFILIATES FOR ANY SPECIAL, PUNITIVE, INDIRECT, INCIDENTAL OR CONSEQUENTIAL DAMAGES, INCLUDING LOST PROFITS, LOST REVENUES OR PENALTIES ARISING FROM OR RELATING TO ANY BREACH OF THIS AGREEMENT, REGARDLESS OF ANY NOTICE OF THE POSSIBILITY OF SUCH DAMAGES.",575
cap_014_2c14e3,Cap On Liability,VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT.PDF,"In the event of any breach of the foregoing warranty, and provided that Converge reports such breach to VNE in writing within 90 days following the date of performance of the Services in question, VNE shall, as its sole obligation and Converge's sole and exclusive remedy, promptly repair, replace or re-perform the Services in question, without additional cost to Converge, so as to correct the warranty non-compliance as promptly as practicable (within 30 days to the extent technically feasible).",499
cap_015_ca4bec,Cap On Liability,CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.pdf,"Any and all claims, losses, cost or expenses shall be limited to actual and direct costs.",89
cap_016_306c70,Cap On Liability,CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,"Company is not liable for incidental, special or consequential damages for any reason (including loss of data or other business or property damage), even if foreseeable or if MA or Customer has advised of such a claim.",218
cap_017_54e7b5,Cap On Liability,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.PDF,"NEITHER PARTY SHALL NOT BE LIABLE TO THE OTHER FOR ANY DAMAGES, LOSSES OR EXPENSES RESULTING FROM ANY  TERMINATION OR EXPIRATION OF THIS AGREEMENT ARISING FROM ANY CLAIMS ASSERTED WHICH ARE BASED UPON  LOSS OF GOODWILL, PROSPECTIVE PROFITS OR ANTICIPATED ORDERS, OR ON ACCOUNT OF ANY EXPENDITURES,  INVESTMENTS, LEASES OR COMMITMENTS MADE BY SUCH PARTY;",353
cap_018_ff199a,Cap On Liability,"VIRTUALSCOPICS,INC_11_12_2010-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF","EXCEPT WITH REGARD TO A PARTY'S BREACH OF SECTION 9, GROSS NEGLIGENCE, WILLFUL MISCONDUCT AND INDEMNIFICATION OBLIGATIONS RELATED TO THIRD PARTY CLAIMS PURSUANT TO SECTION 12, EACH PARTY'S ENTIRE LIABILITY UNDER THIS AGREEMENT WILL IN NO EVENT EXCEED THREE TIMES (3X) THE TOTAL VALUE OF THE WORK ORDER UNDER WHICH THE CLAIM AROSE.",330
