clause_id,clause_type,density,nearest,score,level,percentile_in_category
cap_000_4d5230,Cap On Liability,0.8,0.5961837768554688,0.7184735107421875,Standard,0.7
cap_001_9fd4a8,Cap On Liability,1.0,0.4575977027416229,0.7830390810966492,Standard,0.714
cap_002_8d698b,Cap On Liability,0.05,0.33085066080093384,0.16234026432037355,Highly Atypical,0.25
cap_003_c4d5c7,Cap On Liability,0.15,0.4115380644798279,0.2546152257919312,Atypical,0.4
cap_004_531b86,Cap On Liability,0.0,0.2844318747520447,0.11377274990081787,Highly Atypical,0.129
cap_005_6d4ae8,Cap On Liability,0.05,0.33085066080093384,0.16234026432037355,Highly Atypical,0.25
cap_006_de9184,Cap On Liability,1.0,0.6196657419204712,0.8478662967681885,Highly Standard,0.879
cap_007_7c285f,Cap On Liability,1.0,0.5961837768554688,0.8384735107421875,Highly Standard,0.829
cap_008_fdfcca,Cap On Liability,0.15,0.42841511964797974,0.26136604785919193,Atypical,0.429
cap_009_236097,Cap On Liability,1.0,0.5604413151741028,0.8241765260696411,Standard,0.786
cap_010_1ae461,Cap On Liability,0.85,0.43679875135421753,0.6847195005416871,Standard,0.686
cap_011_580489,Cap On Liability,1.0,0.5033585429191589,0.8013434171676636,Standard,0.743
cap_012_c030c6,Cap On Liability,1.0,0.5053708553314209,0.8021483421325684,Standard,0.757
cap_013_1f5ab9,Cap On Liability,1.0,0.5146247148513794,0.8058498859405517,Standard,0.771
cap_014_2c14e3,Cap On Liability,0.0,0.2743557095527649,0.10974228382110596,Highly Atypical,0.114
cap_015_ca4bec,Cap On Liability,0.0,0.2855283319950104,0.11421133279800416,Highly Atypical,0.143
cap_016_306c70,Cap On Liability,1.0,0.49966633319854736,0.7998665332794189,Standard,0.729
cap_017_54e7b5,Cap On Liability,0.05,0.5519775748252869,0.25079102993011476,Atypical,0.379
cap_018_ff199a,Cap On Liability,0.25,0.4766344130039215,0.34065376520156865,Mixed,0.529
cap_019_d03dcb,Cap On Liability,0.0,0.2963111996650696,0.11852447986602783,Highly Atypical,0.2
cap_020_b30f0d,Cap On Liability,1.0,0.5975997447967529,0.8390398979187011,Highly Standard,0.857
cap_021_5429e8,Cap On Liability,0.3,0.3879692554473877,0.3351877021789551,Mixed,0.514
cap_022_2f033b,Cap On Liability,0.15,1.0,0.49,Standard,0.636
cap_023_cc75fc,Cap On Liability,0.25,0.4513232707977295,0.3305293083190918,Mixed,0.5
cap_024_f97dc1,Cap On Liability,0.0,0.26305562257766724,0.1052222490310669,Highly Atypical,0.086
cap_025_4d50de,Cap On Liability,0.0,0.23711413145065308,0.09484565258026123,Highly Atypical,0.057
cap_026_6c95bf,Cap On Liability,1.0,0.811627984046936,0.9246511936187745,Highly Standard,0.979
cap_027_e24603,Cap On Liability,0.05,0.5519775748252869,0.25079102993011476,Atypical,0.379
cap_028_1f52b5,Cap On Liability,0.1,0.39808154106140137,0.21923261642456054,Atypical,0.314
cap_029_a57f00,Cap On Liability,1.0,0.7450665235519409,0.8980266094207763,Highly Standard,0.914
cap_030_a4b661,Cap On Liability,0.1,0.4229278564453125,0.22917114257812501,Atypical,0.357
cap_031_10820f,Cap On Liability,1.0,0.811627984046936,0.9246511936187745,Highly Standard,0.979
cap_032_cbd365,Cap On Liability,1.0,0.6196657419204712,0.8478662967681885,Highly Standard,0.879
cap_033_e28fbd,Cap On Liability,0.0,0.20917406678199768,0.08366962671279908,Highly Atypical,0.043
cap_034_ed5cfa,Cap On Liability,1.0,0.7490698099136353,0.8996279239654541,Highly Standard,0.929
cap_035_2f033b,Cap On Liability,0.15,1.0,0.49,Standard,0.636
cap_036_da755c,Cap On Liability,0.05,0.3686431050300598,0.17745724201202392,Highly Atypical,0.286
cap_037_5c1c58,Cap On Liability,0.55,0.3468175530433655,0.4687270212173462,Mixed,0.614
cap_038_b5f5b9,Cap On Liability,1.0,0.7788263559341431,0.9115305423736573,Highly Standard,0.943
cap_039_91b425,Cap On Liability,1.0,0.5858398675918579,0.8343359470367432,Highly Standard,0.814
cap_040_16ae56,Cap On Liability,0.95,0.8668981790542603,0.9167592716217041,Highly Standard,0.957
cap_041_704d2e,Cap On Liability,0.0,0.20514154434204102,0.08205661773681641,Highly Atypical,0.029
cap_042_ea92b4,Cap On Liability,0.0,0.2944602072238922,0.11778408288955688,Highly Atypical,0.171
cap_043_21c636,Cap On Liability,0.2,0.33849823474884033,0.25539929389953614,Atypical,0.414
cap_044_055229,Cap On Liability,0.0,0.2901163101196289,0.11604652404785157,Highly Atypical,0.157
cap_045_517128,Cap On Liability,0.25,0.5048799514770508,0.35195198059082033,Mixed,0.543
cap_046_2d0517,Cap On Liability,0.25,0.7171798944473267,0.4368719577789306,Mixed,0.586
cap_047_a8b073,Cap On Liability,1.0,0.5968226194381714,0.8387290477752686,Highly Standard,0.843
cap_048_cb07cd,Cap On Liability,1.0,0.6541255116462708,0.8616502046585083,Highly Standard,0.9
cap_049_c60712,Cap On Liability,0.1,0.3589264154434204,0.20357056617736816,Atypical,0.3
cap_050_31f7c9,Cap On Liability,0.1,0.41505947709083557,0.22602379083633423,Atypical,0.343
cap_051_d084c0,Cap On Liability,0.0,0.26743900775909424,0.1069756031036377,Highly Atypical,0.1
cap_052_82e721,Cap On Liability,0.4,0.7171798944473267,0.5268719577789307,Standard,0.657
cap_053_2273d7,Cap On Liability,0.75,0.40521201491355896,0.6120848059654236,Standard,0.671
cap_054_af1110,Cap On Liability,0.05,0.3589264154434204,0.17357056617736816,Highly Atypical,0.271
cap_055_1136c8,Cap On Liability,0.4,0.3800618350505829,0.3920247340202332,Mixed,0.571
cap_056_9aeff3,Cap On Liability,0.25,0.4211730659008026,0.31846922636032104,Mixed,0.471
cap_057_486a47,Cap On Liability,0.05,0.31218090653419495,0.15487236261367798,Highly Atypical,0.214
cap_058_075509,Cap On Liability,0.3,0.36498770117759705,0.3259950804710388,Mixed,0.486
cap_059_aa1cb5,Cap On Liability,0.3,0.5048799514770508,0.3819519805908203,Mixed,0.557
cap_060_434d3f,Cap On Liability,0.2,0.4472178518772125,0.298887140750885,Atypical,0.443
cap_061_0d2b22,Cap On Liability,0.0,0.2543381452560425,0.101735258102417,Highly Atypical,0.071
cap_062_7f95dd,Cap On Liability,0.0,0.2945021986961365,0.11780087947845459,Highly Atypical,0.186
cap_063_f98936,Cap On Liability,1.0,0.8668981790542603,0.9467592716217041,Highly Standard,1.0
cap_064_cc5734,Cap On Liability,0.3,0.3454444706439972,0.3181777882575989,Mixed,0.457
cap_065_91ffbb,Cap On Liability,1.0,0.5831031799316406,0.8332412719726563,Highly Standard,0.8
cap_066_65404d,Cap On Liability,0.0,0.19477084279060364,0.07790833711624146,Highly Atypical,0.014
cap_067_828abb,Cap On Liability,0.1,0.4115380644798279,0.22461522579193116,Atypical,0.329
cap_068_bd5cdd,Cap On Liability,0.05,0.31893202662467957,0.15757281064987183,Highly Atypical,0.229
cap_069_339be2,Cap On Liability,0.45,0.4766344130039215,0.46065376520156864,Mixed,0.6
asn_000_ccab11,Anti-Assignment,0.9,0.6044105291366577,0.7817642116546631,Standard,0.443
asn_001_33fdc2,Anti-Assignment,1.0,0.4973294734954834,0.7989317893981933,Standard,0.571
asn_002_b54f30,Anti-Assignment,0.0,0.24350306391716003,0.09740122556686402,Highly Atypical,0.029
asn_003_df894e,Anti-Assignment,1.0,0.6197706460952759,0.8479082584381104,Highly Standard,0.907
asn_004_dafafa,Anti-Assignment,0.1,0.34392237663269043,0.19756895065307617,Atypical,0.129
asn_005_c90676,Anti-Assignment,1.0,0.45544981956481934,0.7821799278259277,Standard,0.457
asn_006_2d3da4,Anti-Assignment,0.65,0.5740414261817932,0.6196165704727173,Standard,0.357
asn_007_2d52c1,Anti-Assignment,1.0,0.5412893295288086,0.8165157318115235,Standard,0.657
asn_008_b8ce23,Anti-Assignment,1.0,0.6197706460952759,0.8479082584381104,Highly Standard,0.907
asn_009_0b4d0c,Anti-Assignment,0.0,0.2538881301879883,0.10155525207519532,Highly Atypical,0.043
asn_010_8d9caa,Anti-Assignment,1.0,0.46059393882751465,0.7842375755310058,Standard,0.471
asn_011_0062ea,Anti-Assignment,1.0,0.5099563002586365,0.8039825201034546,Standard,0.629
asn_012_968ed2,Anti-Assignment,1.0,0.48441457748413086,0.7937658309936524,Standard,0.5
asn_013_8e6971,Anti-Assignment,1.0,0.5064941048622131,0.8025976419448853,Standard,0.614
asn_014_41d0df,Anti-Assignment,0.0,0.2622389495372772,0.10489557981491089,Highly Atypical,0.071
asn_015_1e6f07,Anti-Assignment,0.0,0.25796613097190857,0.10318645238876344,Highly Atypical,0.057
asn_016_f3b332,Anti-Assignment,0.25,0.41257232427597046,0.3150289297103882,Mixed,0.186
asn_017_4c7430,Anti-Assignment,1.0,0.49050188064575195,0.7962007522583008,Standard,0.543
asn_018_200bd3,Anti-Assignment,0.4,0.3964410722255707,0.39857642889022826,Mixed,0.243
asn_019_4fb38d,Anti-Assignment,0.15,0.5492649078369141,0.3097059631347656,Mixed,0.171
asn_020_b34180,Anti-Assignment,0.5,0.40229475498199463,0.46091790199279786,Mixed,0.271
asn_021_1d5370,Anti-Assignment,0.75,0.42175403237342834,0.6187016129493713,Standard,0.343
asn_022_3f875a,Anti-Assignment,0.15,0.3158072829246521,0.21632291316986085,Atypical,0.143
asn_023_414921,Anti-Assignment,0.8,0.5832912921905518,0.7133165168762207,Standard,0.4
asn_024_678d7c,Anti-Assignment,0.55,0.4513879716396332,0.5105551886558533,Standard,0.314
asn_025_d325b7,Anti-Assignment,1.0,0.613591194152832,0.8454364776611328,Highly Standard,0.864
asn_026_123854,Anti-Assignment,0.05,0.38412022590637207,0.18364809036254884,Highly Atypical,0.1
asn_027_18414b,Anti-Assignment,1.0,0.6581060886383057,0.8632424354553223,Highly Standard,0.964
asn_028_869cc9,Anti-Assignment,0.75,0.6166781783103943,0.6966712713241576,Standard,0.386
asn_029_0ee762,Anti-Assignment,1.0,0.7608520984649658,0.9043408393859863,Highly Standard,0.993
asn_030_475b5d,Anti-Assignment,0.35,0.5832912921905518,0.4433165168762207,Mixed,0.257
asn_031_50b3be,Anti-Assignment,0.3,0.4155324101448059,0.34621296405792235,Mixed,0.214
asn_032_582337,Anti-Assignment,1.0,0.6323927044868469,0.8529570817947387,Highly Standard,0.936
asn_033_ad4121,Anti-Assignment,1.0,0.4540177583694458,0.7816071033477783,Standard,0.429
asn_034_3143aa,Anti-Assignment,1.0,0.5711474418640137,0.8284589767456054,Standard,0.736
asn_035_977d78,Anti-Assignment,1.0,0.49499812722206116,0.7979992508888245,Standard,0.557
asn_036_0cfa62,Anti-Assignment,1.0,0.5740414261817932,0.8296165704727173,Standard,0.771
asn_037_ab4cb1,Anti-Assignment,1.0,0.5419557094573975,0.816782283782959,Standard,0.671
asn_038_0fa299,Anti-Assignment,1.0,0.5131847262382507,0.8052738904953003,Standard,0.643
asn_039_860377,Anti-Assignment,0.45,0.5092127323150635,0.47368509292602545,Mixed,0.286
asn_040_623190,Anti-Assignment,0.15,0.42508649826049805,0.26003459930419925,Atypical,0.157
asn_041_0da866,Anti-Assignment,0.8,0.41257232427597046,0.6450289297103882,Standard,0.371
